"he.ind.alt$Ho","Fis","Ho","MLH","BdLog","Locality","Morphotype","Elevation","DO","pH","SMI"
0.229448993779399,0.0357,0.229448993779399,0.397580353918382,0,"A","Non-metamorphic",3462,74,7.4,12.7105089151157
0.240553985608653,-0.01097,0.240553985608653,0.401029252437703,0,"A","Non-metamorphic",3462,74,7.4,10.3287863122498
0.225088253085472,0.05402,0.225088253085472,0.389869989165764,2.762476467,"A","Non-metamorphic",3462,74,7.4,6.83014264489389
0.229792074827782,0.03425,0.229792074827782,0.395594077284218,0,"A","Non-metamorphic",3462,74,7.4,9.44219389011541
0.249131011818239,-0.04702,0.249131011818239,0.405796316359697,0,"A","Non-metamorphic",3462,74,7.4,13.0090313539415
0.24064427009507,-0.01135,0.24064427009507,0.399404117009751,0,"A","Metamorphic",3462,74,7.4,6.80950113035786
0.237114146676177,0.003482,0.237114146676177,0.402889129649693,2.380691272,"A","Non-metamorphic",3462,74,7.4,8.03541264618477
0.230821317972933,0.02993,0.230821317972933,0.39628024557602,2.880876104,"A","Metamorphic",3462,64.7,7.4,13.5370354776622
0.227760673883407,0.04279,0.227760673883407,0.397237269772481,0,"A","Metamorphic",3462,64.7,7,12.9837472166251
0.238405214831935,-0.001944,0.238405214831935,0.400957024196461,0,"A","Non-metamorphic",3462,64.7,7,12.3856352693633
0.229692761892724,0.03467,0.229692761892724,0.395413506681112,0,"A","Non-metamorphic",3462,64.7,7,10.3524607466095
0.243370861584854,-0.02281,0.243370861584854,0.400162513542795,4.212540076,"A","Non-metamorphic",3462,74,7,11.3829024346988
0.223083937487022,0.06245,0.223083937487022,0.389219934994583,3.925116559,"C","Non-metamorphic",3177,70,7.2,9.8330502734445
0.217386986394128,0.08639,0.217386986394128,0.383947273383893,2.200653768,"C","Non-metamorphic",3177,70,7.2,9.95429048474294
0.240761639927411,-0.01185,0.240761639927411,0.404929577464789,3.044107594,"C","Non-metamorphic",3177,70,7.2,11.3514682195441
0.264659943481912,-0.1123,0.264659943481912,0.417479234380643,3.822417755,"C","Non-metamorphic",3177,79.1,7.6,10.6563391307588
0.239723368333619,-0.007484,0.239723368333619,0.402816901408451,2.897272507,"C","Non-metamorphic",3177,70,7.2,12.1480136582283
0.223219364216647,0.06188,0.223219364216647,0.396081617912604,3.568408041,"C","Non-metamorphic",3177,70,7.2,6.74889647679348
0.232139471474617,0.02439,0.232139471474617,0.393048031780426,2.796225237,"C","Non-metamorphic",3177,79.4,7.5,8.85735085615976
0.223607587508238,0.06025,0.223607587508238,0.396406644998194,4.10204918,"C","Non-metamorphic",3177,79.4,7.5,15.5003639982796
0.234071559483934,0.01627,0.234071559483934,0.399837486457205,3.720561774,"C","Non-metamorphic",3177,79.4,7.5,13.2860262842396
0.224663915999314,0.05581,0.224663915999314,0.396370530877573,2.757869251,"C","Non-metamorphic",3177,79.1,7.6,9.8330502734445
0.238351044140085,-0.001716,0.238351044140085,0.403557240881185,3.004940318,"C","Metamorphic",3177,79.1,7.6,5.55987215784582
